county_and_age_group,Female,Male,Excess Females at age group
South Dublin County Council 85-89,1398,948,450
South Dublin County Council 90-94,539,321,218
South Dublin County Council 95-99,126,50,76
Tipperary County Council 0-4,4683,5013,-330
Tipperary County Council 10-14,6078,6423,-345
Tipperary County Council 15-19,5438,5669,-231
Tipperary County Council 20-24,4239,4526,-287
Tipperary County Council 25-29,3876,4019,-143
Tipperary County Council 30-34,4741,4384,357
Tipperary County Council 35-39,5944,5272,672
Tipperary County Council 40-44,6417,6134,283
Tipperary County Council 45-49,6088,6098,-10
Tipperary County Council 5-9,5450,5639,-189
Tipperary County Council 50-54,5673,5713,-40
Tipperary County Council 55-59,5456,5601,-145
Tipperary County Council 60-64,4976,4989,-13
Tipperary County Council 65-69,4368,4606,-238
Tipperary County Council 70-74,3838,3798,40
Tipperary County Council 75-79,3022,2840,182
Tipperary County Council 80-84,1970,1647,323
Tipperary County Council 85-89,1280,900,380
Tipperary County Council 90-94,569,320,249
Tipperary County Council 95-99,131,44,87
Waterford City & County Council 0-4,3284,3517,-233
Waterford City & County Council 10-14,4644,4724,-80
Waterford City & County Council 15-19,4184,4470,-286
Waterford City & County Council 20-24,3559,3768,-209
Waterford City & County Council 25-29,3254,3163,91
Waterford City & County Council 30-34,3865,3599,266
Waterford City & County Council 35-39,4663,4164,499
Waterford City & County Council 40-44,5074,4818,256
Waterford City & County Council 45-49,4693,4479,214
Waterford City & County Council 5-9,3995,4299,-304
Waterford City & County Council 50-54,4285,4259,26
Waterford City & County Council 55-59,4116,4166,-50
Waterford City & County Council 60-64,3688,3601,87
Waterford City & County Council 65-69,3150,3197,-47
Waterford City & County Council 70-74,2761,2633,128
Waterford City & County Council 75-79,2207,2085,122
Waterford City & County Council 80-84,1430,1243,187
Waterford City & County Council 85-89,904,666,238
Waterford City & County Council 90-94,406,216,190
Waterford City & County Council 95-99,91,24,67
Westmeath County Council 0-4,2836,2915,-79
Westmeath County Council 10-14,3490,3713,-223
Westmeath County Council 15-19,3092,3327,-235
Westmeath County Council 20-24,2614,2820,-206
Westmeath County Council 25-29,2600,2575,25
Westmeath County Council 30-34,3068,2844,224
Westmeath County Council 35-39,3781,3522,259
Westmeath County Council 40-44,3848,3612,236
Westmeath County Council 45-49,3472,3397,75
Westmeath County Council 5-9,3380,3445,-65
Westmeath County Council 50-54,3224,3229,-5
Westmeath County Council 55-59,3002,2878,124
Westmeath County Council 60-64,2571,2597,-26
Westmeath County Council 65-69,2311,2277,34
Westmeath County Council 70-74,1838,1832,6
Westmeath County Council 75-79,1495,1320,175
Westmeath County Council 80-84,934,792,142
Westmeath County Council 85-89,580,462,118
Westmeath County Council 90-94,281,131,150
Westmeath County Council 95-99,74,30,44
Wexford County Council 0-4,4505,4651,-146
Wexford County Council 10-14,6008,6252,-244
Wexford County Council 15-19,5296,5675,-379
Wexford County Council 20-24,4127,4302,-175
Wexford County Council 25-29,4026,3839,187
Wexford County Council 30-34,4897,4510,387
Wexford County Council 35-39,5918,5142,776
Wexford County Council 40-44,6601,6000,601
Wexford County Council 45-49,6009,5772,237
Wexford County Council 5-9,5350,5716,-366
Wexford County Council 50-54,5753,5711,42
Wexford County Council 55-59,5569,5201,368
Wexford County Council 60-64,4931,4755,176
Wexford County Council 65-69,4199,4218,-19
Wexford County Council 70-74,3604,3612,-8
Wexford County Council 75-79,2842,2684,158
Wexford County Council 80-84,1806,1664,142
Wexford County Council 85-89,1102,790,312
Wexford County Council 90-94,452,241,211
Wexford County Council 95-99,133,40,93
Wicklow County Council 0-4,4283,4664,-381
Wicklow County Council 10-14,6086,6231,-145
Wicklow County Council 15-19,5158,5402,-244
Wicklow County Council 20-24,3748,4193,-445
Wicklow County Council 25-29,3628,3439,189
Wicklow County Council 30-34,4526,4000,526
Wicklow County Council 35-39,6017,5162,855
Wicklow County Council 40-44,6822,6178,644
Wicklow County Council 45-49,6150,5959,191
Wicklow County Council 5-9,5350,5640,-290
Wicklow County Council 50-54,5528,5399,129
Wicklow County Council 55-59,5086,4841,245
Wicklow County Council 60-64,4433,4267,166
Wicklow County Council 65-69,3753,3524,229
Wicklow County Council 70-74,3211,3053,158
Wicklow County Council 75-79,2509,2374,135
Wicklow County Council 80-84,1557,1336,221
Wicklow County Council 85-89,905,662,243
Wicklow County Council 90-94,412,201,211
Wicklow County Council 95-99,110,36,74
