,Sex,Single Year of Age,VALUE
4548,Male,39,2780
4549,Male,39,2420
4550,Male,39,2085
4551,Male,39,756
4552,Male,39,762
4553,Male,39,337
4554,Male,39,1001
4555,Male,39,1752
4556,Male,39,581
4557,Male,39,758
4558,Male,39,1078
4559,Male,39,1137
4560,Male,39,829
4561,Male,39,1721
4562,Male,39,2631
4563,Male,39,1022
4564,Male,39,1540
4565,Male,39,1136
4566,Male,39,851
4567,Male,39,644
4568,Male,39,1407
4569,Male,39,242
4570,Male,39,959
4571,Male,39,470
4572,Male,39,509
4573,Male,39,641
4574,Male,39,1121
4575,Male,39,500
4576,Male,40,40301
4577,Male,40,494
4578,Male,40,4961
4579,Male,40,1736
4580,Male,40,2973
4581,Male,40,2575
4582,Male,40,2090
4583,Male,40,810
4584,Male,40,747
4585,Male,40,396
4586,Male,40,1119
4587,Male,40,1787
4588,Male,40,691
4589,Male,40,723
4590,Male,40,1172
4591,Male,40,1176
4592,Male,40,907
4593,Male,40,1750
4594,Male,40,2744
4595,Male,40,1112
4596,Male,40,1637
4597,Male,40,1226
4598,Male,40,898
4599,Male,40,707
4600,Male,40,1443
4601,Male,40,245
4602,Male,40,943
4603,Male,40,489
4604,Male,40,491
4605,Male,40,633
4606,Male,40,1149
4607,Male,40,477
4608,Male,41,41401
4609,Male,41,487
4610,Male,41,4913
4611,Male,41,1795
4612,Male,41,3043
4613,Male,41,2610
4614,Male,41,2183
4615,Male,41,787
4616,Male,41,799
4617,Male,41,410
4618,Male,41,1100
4619,Male,41,1850
4620,Male,41,628
4621,Male,41,759
4622,Male,41,1293
4623,Male,41,1250
4624,Male,41,926
4625,Male,41,1727
4626,Male,41,2933
4627,Male,41,1141
4628,Male,41,1646
4629,Male,41,1247
